일시,지점명,평균습도(%rh),최저습도(%rh)
20190731,파주,97.6,82.0
20190801,파주,94.4,73.0
20190802,파주,87.0,58.0
20190803,파주,86.8,61.0
20190804,파주,85.3,58.0
20190805,파주,83.3,54.0
20190806,파주,78.0,61.0
20190807,파주,90.8,74.0
20190808,파주,88.1,69.0
20190809,파주,87.0,62.0
20190810,파주,85.3,63.0
20190811,파주,73.0,47.0
20190812,파주,95.8,84.0
20190813,파주,91.8,74.0
20190814,파주,84.4,62.0
20190815,파주,90.3,77.0
20190816,파주,88.6,67.0
20190817,파주,81.6,60.0
20190818,파주,83.3,53.0
20190819,파주,84.0,53.0
20190820,파주,82.6,58.0
20190821,파주,91.9,67.0
20190822,파주,86.1,53.0
20190823,파주,82.9,51.0
20190824,파주,84.9,55.0
20190825,파주,86.4,54.0
20190826,파주,89.5,57.0
20190827,파주,86.1,60.0
20190828,파주,83.3,52.0
20190829,파주,82.9,68.0
20190830,파주,81.6,55.0
20190831,파주,81.5,53.0
20190901,파주,87.6,52.0
20190902,파주,85.8,41.0
20190903,파주,85.1,58.0
20190904,파주,98.3,93.0
20190905,파주,99.1,84.0
20190906,파주,96.5,84.0
20190907,파주,89.4,68.0
20190908,파주,90.9,69.0
20190909,파주,89.0,59.0
20190910,파주,98.5,89.0
20190911,파주,83.5,62.0
20190912,파주,87.8,70.0
20190913,파주,81.8,50.0
20190914,파주,96.0,79.0
20190915,파주,85.0,56.0
20190916,파주,77.4,39.0
20190917,파주,76.5,38.0
20190918,파주,66.5,35.0
20190919,파주,71.1,40.0
20190920,파주,81.6,62.0
20190921,파주,88.8,73.0
20190922,파주,74.6,63.0
20190923,파주,68.1,39.0
20190924,파주,80.4,45.0
20190925,파주,88.3,51.0
20190926,파주,85.1,54.0
20190927,파주,84.9,58.0
20190928,파주,82.4,52.0
20190929,파주,83.4,43.0
20190930,파주,85.0,45.0
20191001,파주,83.8,51.0
20191002,파주,93.1,72.0
20191003,파주,81.1,55.0
20191004,파주,87.1,65.0
20191005,파주,84.1,68.0
20191006,파주,74.3,46.0
20191007,파주,99.4,87.0
20191008,파주,71.8,30.0
20191009,파주,77.5,32.0
20191010,파주,86.4,52.0
20191011,파주,76.6,35.0
20191012,파주,66.1,43.0
20191013,파주,79.6,43.0
20191014,파주,75.3,34.0
20191015,파주,74.4,45.0
20191016,파주,83.0,45.0
20191017,파주,76.9,36.0
20191018,파주,79.8,48.0
20191019,파주,81.1,49.0
20191020,파주,84.6,43.0
20191021,파주,83.0,44.0
20191022,파주,79.1,43.0
20191023,파주,82.3,49.0
20191024,파주,69.9,44.0
20191025,파주,72.4,47.0
20191026,파주,76.0,49.0
20191027,파주,80.8,44.0
20191028,파주,81.4,50.0
20191029,파주,77.1,35.0
20191030,파주,82.5,43.0
20191031,파주,89.4,64.0
20191101,파주,74.6,27.0
20191102,파주,82.3,49.0
20191103,파주,77.5,45.0
20191104,파주,76.0,39.0
20191105,파주,85.5,46.0
20191106,파주,80.1,35.0
20191107,파주,66.1,25.0
20191108,파주,62.8,22.0
20191109,파주,69.3,31.0
20191110,파주,77.0,35.0
20191111,파주,82.0,54.0
20191112,파주,82.1,41.0
20191113,파주,85.0,56.0
20191114,파주,46.5,30.0
20191115,파주,93.0,56.0
20191116,파주,91.4,50.0
20191117,파주,89.3,67.0
20191118,파주,72.1,45.0
20191119,파주,65.6,45.0
20191120,파주,63.5,23.0
20191121,파주,68.3,43.0
20191122,파주,56.4,23.0
20191123,파주,70.6,49.0
20191124,파주,86.8,70.0
20191125,파주,71.9,57.0
20191126,파주,78.1,55.0
20191127,파주,69.6,41.0
20191128,파주,62.9,48.0
20191129,파주,68.1,30.0
20191130,파주,62.5,37.0
20191201,파주,92.8,69.0
20191202,파주,57.8,36.0
20191203,파주,76.8,54.0
20191204,파주,68.6,34.0
20191205,파주,52.5,27.0
20191206,파주,67.3,36.0
20191207,파주,81.6,69.0
20191208,파주,78.3,44.0
20191209,파주,82.6,66.0
20191210,파주,97.6,84.0
20191211,파주,74.5,40.0
20191212,파주,65.3,35.0
20191213,파주,78.6,58.0
20191214,파주,70.4,41.0
20191215,파주,78.1,51.0
20191216,파주,79.8,58.0
20191217,파주,89.9,77.0
20191218,파주,83.6,61.0
20191219,파주,72.8,36.0
20191220,파주,69.8,32.0
20191221,파주,87.0,70.0
20191222,파주,87.3,63.0
20191223,파주,92.1,67.0
20191224,파주,87.8,46.0
20191225,파주,83.5,50.0
20191226,파주,68.3,50.0
20191227,파주,69.8,35.0
20191228,파주,69.5,50.0
20191229,파주,69.3,41.0
20191230,파주,71.1,47.0
20191231,파주,48.6,32.0
20200101,파주,79.1,52.0
20200102,파주,83.4,66.0
20200103,파주,78.6,40.0
20200104,파주,73.6,39.0
20200105,파주,71.0,37.0
20200106,파주,79.6,61.0
20200107,파주,98.4,94.0
20200108,파주,90.6,74.0
20200109,파주,77.0,57.0
20200110,파주,81.5,51.0
20200111,파주,80.0,51.0
20200112,파주,75.8,49.0
20200113,파주,68.5,32.0
20200114,파주,69.3,28.0
20200115,파주,71.5,31.0
20200116,파주,74.4,41.0
20200117,파주,70.4,35.0
20200118,파주,72.3,39.0
20200119,파주,81.3,57.0
20200120,파주,68.8,36.0
20200121,파주,62.9,26.0
20200122,파주,52.9,21.0
20200123,파주,68.5,41.0
20200124,파주,77.4,44.0
20200125,파주,73.6,56.0
20200126,파주,66.1,41.0
20200127,파주,54.6,44.0
20200128,파주,59.4,46.0
20200129,파주,67.1,46.0
20200130,파주,68.6,41.0
20200131,파주,76.1,43.0
20200201,파주,83.9,54.0
20200202,파주,72.8,41.0
20200203,파주,59.1,25.0
20200204,파주,75.9,48.0
20200205,파주,50.5,35.0
20200206,파주,61.8,25.0
20200207,파주,65.5,31.0
20200208,파주,59.6,35.0
20200209,파주,71.8,39.0
20200210,파주,69.1,34.0
20200211,파주,61.3,24.0
20200212,파주,81.6,59.0
20200213,파주,95.0,81.0
20200214,파주,84.3,50.0
20200215,파주,80.1,43.0
20200216,파주,86.5,65.0
20200217,파주,68.0,53.0
20200218,파주,62.3,40.0
20200219,파주,78.6,49.0
20200220,파주,81.0,46.0
20200221,파주,85.8,56.0
20200222,파주,72.4,40.0
20200223,파주,71.4,36.0
20200224,파주,77.3,59.0
20200225,파주,83.1,62.0
20200226,파주,73.1,51.0
20200227,파주,69.8,34.0
20200228,파주,93.1,81.0
20200229,파주,83.8,45.0
20200301,파주,88.6,72.0
20200302,파주,67.4,40.0
20200303,파주,73.1,40.0
20200304,파주,67.5,42.0
20200305,파주,62.4,35.0
20200306,파주,66.3,25.0
20200307,파주,64.9,22.0
20200308,파주,67.9,25.0
20200309,파주,60.0,30.0
20200310,파주,81.6,48.0
20200311,파주,54.5,29.0
20200312,파주,72.3,29.0
20200313,파주,48.6,21.0
20200314,파주,66.0,37.0
20200315,파주,61.3,22.0
20200316,파주,62.0,27.0
20200317,파주,79.6,53.0
20200318,파주,64.9,28.0
20200319,파주,56.9,26.0
20200320,파주,52.6,22.0
20200321,파주,70.5,54.0
20200322,파주,46.8,18.0
20200323,파주,55.1,24.0
20200324,파주,52.3,22.0
20200325,파주,61.0,22.0
20200326,파주,60.5,32.0
20200327,파주,54.9,28.0
20200328,파주,25.0,11.0
20200329,파주,47.0,21.0
20200330,파주,56.6,16.0
20200331,파주,57.5,21.0
20200401,파주,53.8,20.0
20200402,파주,64.1,22.0
20200403,파주,68.4,26.0
20200404,파주,40.4,12.0
20200405,파주,36.3,13.0
20200406,파주,57.1,22.0
20200407,파주,69.5,44.0
20200408,파주,40.8,17.0
20200409,파주,54.5,27.0
20200410,파주,65.0,37.0
20200411,파주,72.4,36.0
20200412,파주,65.6,41.0
20200413,파주,48.1,16.0
20200414,파주,54.3,21.0
20200415,파주,54.6,25.0
20200416,파주,51.3,25.0
20200417,파주,88.6,53.0
20200418,파주,78.6,46.0
20200419,파주,82.4,45.0
20200420,파주,82.0,58.0
20200421,파주,52.5,28.0
20200422,파주,48.0,38.0
20200423,파주,50.1,22.0
20200424,파주,64.5,38.0
20200425,파주,61.3,34.0
20200426,파주,53.3,20.0
20200427,파주,58.1,24.0
20200428,파주,64.8,33.0
20200429,파주,60.3,24.0
20200430,파주,75.4,49.0
20200501,파주,85.9,64.0
20200502,파주,95.5,82.0
20200503,파주,77.4,47.0
20200504,파주,75.4,48.0
20200505,파주,79.6,47.0
20200506,파주,62.8,19.0
20200507,파주,47.1,21.0
20200508,파주,57.1,22.0
20200509,파주,98.4,96.0
20200510,파주,94.1,84.0
20200511,파주,72.4,32.0
20200512,파주,77.9,45.0
20200513,파주,63.1,29.0
20200514,파주,58.1,22.0
20200515,파주,92.5,52.0
20200516,파주,94.9,83.0
20200517,파주,90.5,74.0
20200518,파주,90.6,55.0
20200519,파주,80.8,53.0
20200520,파주,71.8,46.0
20200521,파주,74.8,44.0
20200522,파주,82.6,62.0
20200523,파주,79.3,47.0
20200524,파주,89.6,67.0
20200525,파주,86.9,62.0
20200526,파주,90.6,59.0
20200527,파주,81.8,51.0
20200528,파주,80.3,51.0
20200529,파주,80.0,39.0
20200530,파주,73.9,41.0
20200531,파주,76.9,43.0
20200601,파주,71.1,41.0
20200602,파주,81.9,49.0
20200603,파주,81.1,55.0
20200604,파주,90.3,75.0
20200605,파주,79.5,49.0
20200606,파주,77.9,49.0
20200607,파주,80.9,55.0
20200608,파주,79.0,51.0
20200609,파주,68.9,39.0
20200610,파주,78.9,52.0
20200611,파주,77.9,46.0
20200612,파주,84.9,54.0
20200613,파주,66.1,28.0
20200614,파주,74.1,50.0
20200615,파주,72.6,37.0
20200616,파주,76.0,46.0
20200617,파주,75.8,46.0
20200618,파주,79.0,58.0
20200619,파주,74.6,46.0
20200620,파주,77.0,53.0
20200621,파주,77.3,44.0
20200622,파주,68.4,33.0
20200623,파주,74.1,55.0
20200624,파주,96.9,85.0
20200625,파주,97.6,86.0
20200626,파주,88.0,66.0
20200627,파주,83.3,59.0
20200628,파주,85.0,59.0
20200629,파주,92.3,76.0
20200630,파주,91.4,69.0
20200701,파주,90.8,69.0
20200702,파주,85.1,63.0
20200703,파주,83.1,57.0
20200704,파주,79.9,47.0
20200705,파주,79.8,57.0
20200706,파주,81.8,60.0
20200707,파주,85.8,68.0
20200708,파주,82.4,56.0
20200709,파주,84.1,55.0
20200710,파주,89.3,75.0
20200711,파주,75.1,59.0
20200712,파주,86.4,73.0
20200713,파주,93.4,78.0
20200714,파주,80.8,64.0
20200715,파주,77.4,50.0
20200716,파주,85.6,65.0
20200717,파주,84.6,59.0
20200718,파주,86.6,67.0
20200719,파주,89.0,77.0
20200720,파주,93.8,79.0
20200721,파주,86.4,57.0
20200722,파주,94.1,81.0
20200723,파주,97.6,87.0
20200724,파주,80.3,63.0
20200725,파주,72.3,60.0
20200726,파주,79.9,63.0
20200727,파주,95.6,90.0
20200728,파주,86.9,67.0
20200729,파주,96.9,87.0
20200730,파주,91.1,70.0
20200731,파주,90.6,72.0
